log Kd;compound;Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges ;negative charges ;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100)  ;estimated log KOC  (L/kg);surface area (m2/g);PZC;O wt%;delta_PZCpH
3.51E+00;cyanoguanidine;3.20E+03;-1.03;84.08;0;0;0.23;0;0.666;0.95;945;6.6;1.5;-0.6
3.16E+00;cyanoguanidine;1.45E+03;-1.03;84.08;0;0;0.23;0;0.666;0.95;1047;6.7;1.65;-0.5
2.93E+00;cyanoguanidine;8.50E+02;-1.03;84.08;0;0;0.23;0;0.666;0.95;982;6.4;2.9;-0.8
3.29E+00;2-methylprop-2-ene-1-sulfonic acid;1.95E+03;-2.21;158.15;0;1;2.15;0;0.947;0.38;1054;7.6;0.6;0.4
3.65E+00;2-methylprop-2-ene-1-sulfonic acid;4.46E+03;-2.21;158.15;0;1;2.15;0;0.947;0.38;1003;6.7;0.57;-0.5
3.62E+00;2-methylprop-2-ene-1-sulfonic acid;4.20E+03;-2.21;158.15;0;1;2.15;0;0.947;0.38;993;7.6;1.3;0.4
3.58E+00;2-methylprop-2-ene-1-sulfonic acid;3.76E+03;-2.21;158.15;0;1;2.15;0;0.947;0.38;945;6.6;1.5;-0.6
3.16E+00;2-methylprop-2-ene-1-sulfonic acid;1.46E+03;-2.21;158.15;0;1;2.15;0;0.947;0.38;1047;6.7;1.65;-0.5
3.01E+00;2-methylprop-2-ene-1-sulfonic acid;1.02E+03;-2.21;158.15;0;1;2.15;0;0.947;0.38;982;6.4;2.9;-0.8
4.43E+00;acesulfame;2.66E+04;-1.49;163.15;0;1;1.22;0;0.976;0.623;1054;7.6;0.6;0.4
4.47E+00;acesulfame;2.93E+04;-1.49;163.15;0;1;1.22;0;0.976;0.623;1003;6.7;0.57;-0.5
4.48E+00;acesulfame;3.05E+04;-1.49;163.15;0;1;1.22;0;0.976;0.623;993;7.6;1.3;0.4
4.46E+00;acesulfame;2.88E+04;-1.49;163.15;0;1;1.22;0;0.976;0.623;945;6.6;1.5;-0.6
4.43E+00;acesulfame;2.70E+04;-1.49;163.15;0;1;1.22;0;0.976;0.623;1047;6.7;1.65;-0.5
4.09E+00;acesulfame;1.22E+04;-1.49;163.15;0;1;1.22;0;0.976;0.623;982;6.4;2.9;-0.8
4.10E+00;Adamantan-1-amine;1.26E+04;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1054;7.6;0.6;0.4
4.33E+00;Adamantan-1-amine;2.12E+04;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1003;6.7;0.57;-0.5
4.22E+00;Adamantan-1-amine;1.65E+04;-1.43;151.25;1;0;-2.17;0;1.42;3.12;993;7.6;1.3;0.4
4.26E+00;Adamantan-1-amine;1.80E+04;-1.43;151.25;1;0;-2.17;0;1.42;3.12;945;6.6;1.5;-0.6
4.34E+00;Adamantan-1-amine;2.21E+04;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1047;6.7;1.65;-0.5
4.33E+00;Adamantan-1-amine;2.16E+04;-1.43;151.25;1;0;-2.17;0;1.42;3.12;982;6.4;2.9;-0.8
