log Kd;compound;Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges ;negative charges ;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100)  ;estimated log KOC  (L/kg);surface area (m2/g);PZC;O wt%;delta_PZCpH
5.31E+00;PFHpA;2.02E+05;0.88;364.06;0;1;-5.42;0;1.4;3.77;1004;5.95;3.5;-0.95
5.62E+00;PFHxS;4.16E+05;1.65;400.11;0;1;-5;0;1.52;3.3;1004;5.95;3.5;-0.95
5.43E+00;PFPeA;2.68E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1099;9.9;0.53;3
5.55E+00;PFHxA;3.51E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;1099;9.9;0.53;3
6.06E+00;PFBS;1.15E+06;0.251;299.1;0;1;-3.36;0;1.17;2.26;1099;9.9;0.53;3
6.09E+00;AFBA;1.23E+06;-4.5;290.06;0;1;-3.39;0;1.6;2.96;1099;9.9;0.53;3
6.11E+00;PFHpA;1.29E+06;0.88;364.06;0;1;-5.42;0;1.4;3.77;1099;9.9;0.53;3
6.28E+00;PFHxS;1.90E+06;1.65;400.11;0;1;-5;0;1.52;3.3;1099;9.9;0.53;3
6.22E+00;PFPeA;1.67E+06;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1079;9.74;0.61;2.84
6.53E+00;PFHxA;3.38E+06;0.18;314.05;0;1;-4.59;0;1.22;2.45;1079;9.74;0.61;2.84
6.66E+00;PFBS;4.61E+06;0.251;299.1;0;1;-3.36;0;1.17;2.26;1079;9.74;0.61;2.84
6.12E+00;AFBA;1.32E+06;-4.5;290.06;0;1;-3.39;0;1.6;2.96;1079;9.74;0.61;2.84
6.73E+00;PFHpA;5.39E+06;0.88;364.06;0;1;-5.42;0;1.4;3.77;1079;9.74;0.61;2.84
6.82E+00;PFHxS;6.66E+06;1.65;400.11;0;1;-5;0;1.52;3.3;1079;9.74;0.61;2.84
6.27E+00;PFHxA;1.88E+06;0.18;314.05;0;1;-4.59;0;1.22;2.45;1067;8.8;7.8;1.9
6.13E+00;PFBS;1.34E+06;0.251;299.1;0;1;-3.36;0;1.17;2.26;1067;8.8;7.8;1.9
5.73E+00;PFPeA;5.32E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1067;8.8;7.8;1.9
4.68E+00;PFBA;4.82E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1067;8.8;7.8;1.9
5.54E+00;PFHxA;3.47E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;1064;8.7;8.8;1.8
5.29E+00;PFBS;1.95E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;1064;8.7;8.8;1.8
4.45E+00;PFPeA;2.82E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1064;8.7;8.8;1.8
4.02E+00;PFBA;1.04E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1064;8.7;8.8;1.8
5.62E+00;PFHxA;4.21E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;1086;7.9;9.3;1
5.23E+00;PFBS;1.70E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;1086;7.9;9.3;1
4.28E+00;PFPeA;1.90E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1086;7.9;9.3;1
3.79E+00;PFBA;6.10E+03;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1086;7.9;9.3;1
5.75E+00;PFHxA;5.68E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;955;3.9;16.3;-3
4.38E+00;PFBS;2.38E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;955;3.9;16.3;-3
4.61E+00;PFPeA;4.07E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;955;3.9;16.3;-3
3.79E+00;PFBA;6.19E+03;-1.22;214.039;0;1;-2.82;0;0.871;1.81;955;3.9;16.3;-3
4.98E+00;PFHpA;9.65E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;900;7;;0.1
4.56E+00;PFBS;3.61E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;900;7;;0.1
5.20E+00;PFHxS;1.60E+05;1.65;400.11;0;1;-5;0;1.52;3.3;900;7;;0.1
3.22E+00;PFBA;1.67E+03;-1.22;214.039;0;1;-2.82;0;0.871;1.81;950;7;;0.1
3.35E+00;PFPeA;2.25E+03;-0.54;264.05;0;1;-3.72;0;1.05;2.43;950;7;;0.1
3.36E+00;PFHxA;2.30E+03;0.18;314.05;0;1;-4.59;0;1.22;2.45;950;7;;0.1
3.45E+00;PFHpA;2.81E+03;0.88;364.06;0;1;-5.42;0;1.4;3.77;950;7;;0.1
3.31E+00;PFBS;2.04E+03;0.251;299.1;0;1;-3.36;0;1.17;2.26;950;7;;0.1
3.50E+00;PFPeS;3.20E+03;0.95;350.11;0;1;-4.2;0;1.35;3.01;950;7;;0.1
3.58E+00;PFHxS;3.77E+03;1.65;400.11;0;1;-5;0;1.52;3.3;950;7;;0.1
3.43E+00;PFPeA;2.69E+03;-0.54;264.05;0;1;-3.72;0;1.05;2.43;950;7;;0.1
3.39E+00;FBSA;2.46E+03;1.11;299.11;0;1;-0.08;0;1.68;2.95;950;7;;0.1
5.04E+00;PFHxS;1.10E+05;1.65;400.11;0;1;-5;0;1.52;3.3;759;;;
6.01E+00;PFHpA;1.03E+06;0.88;364.06;0;1;-5.42;0;1.4;3.77;262;;;
4.67E+00;PFHpA;4.68E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;171;;;
4.44E+00;PFHpA;2.75E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;944;;;
4.80E+00;PFHxA;6.31E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;262;;;
3.35E+00;PFHxA;2.21E+03;0.18;314.05;0;1;-4.59;0;1.22;2.45;171;;;
5.16E+00;PFBS;1.46E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;964;8;;1.1
6.59E+00;PFHxS;3.88E+06;1.65;400.11;0;1;-5;0;1.52;3.3;964;8;;1.1
5.72E+00;PFPeA;5.19E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;964;8;;1.1
5.89E+00;GenX;7.80E+05;0.47;330.05;0;1;-4.82;0;1.28;2.075;964;8;;1.1
5.34E+00;PFBS;2.18E+05;0.251;299.1;0;1;-3.36;0;1.17;2.26;1296;8.8;;1.9
5.34E+00;PFHxS;2.19E+05;1.65;400.11;0;1;-5;0;1.52;3.3;1296;8.8;;1.9
4.01E+00;PFPeA;1.03E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1296;8.8;;1.9
4.41E+00;GenX;2.57E+04;0.47;330.05;0;1;-4.82;0;1.28;2.075;1296;8.8;;1.9
4.97E+00;PFBS;9.33E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;1003;9.5;;2.6
4.24E+00;PFBS;1.74E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;948;6.7;;-0.2
4.46E+00;PFBS;2.88E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;1003;9.5;;2.6
3.90E+00;PFBS;7.94E+03;0.251;299.1;0;1;-3.36;0;1.17;2.26;948;6.7;;-0.2
4.30E+00;PFBS;2.00E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;1003;9.5;;2.6
3.87E+00;PFBS;7.41E+03;0.251;299.1;0;1;-3.36;0;1.17;2.26;948;6.7;;-0.2
4.70E+00;PFPeA;5.01E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1003;9.5;;2.6
4.11E+00;PFPeA;1.29E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;948;6.7;;-0.2
4.03E+00;PFPeA;1.07E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1003;9.5;;2.6
3.38E+00;PFPeA;2.40E+03;-0.54;264.05;0;1;-3.72;0;1.05;2.43;948;6.7;;-0.2
3.44E+00;PFPeA;2.75E+03;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1003;9.5;;2.6
3.41E+00;PFPeA;2.57E+03;-0.54;264.05;0;1;-3.72;0;1.05;2.43;948;6.7;;-0.2
4.37E+00;PFBA;2.35E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1054;7.6;0.6;0.7
4.57E+00;PFBA;3.72E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1003;6.7;0.57;-0.2
4.61E+00;PFBA;4.12E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;993;7.6;1.3;0.7
4.52E+00;PFBA;3.33E+04;-1.22;214.039;0;1;-2.82;0;0.871;1.81;945;6.6;1.5;-0.3
3.84E+00;PFBA;6.86E+03;-1.22;214.039;0;1;-2.82;0;0.871;1.81;1047;6.7;1.65;-0.2
3.63E+00;PFBA;4.31E+03;-1.22;214.039;0;1;-2.82;0;0.871;1.81;982;6.4;2.9;-0.5
4.87E+00;PFPeA;7.35E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1054;7.6;0.6;0.7
5.12E+00;PFPeA;1.31E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1003;6.7;0.57;-0.2
5.11E+00;PFPeA;1.28E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;993;7.6;1.3;0.7
5.00E+00;PFPeA;1.01E+05;-0.54;264.05;0;1;-3.72;0;1.05;2.43;945;6.6;1.5;-0.3
4.34E+00;PFPeA;2.21E+04;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1047;6.7;1.65;-0.2
3.89E+00;PFPeA;7.68E+03;-0.54;264.05;0;1;-3.72;0;1.05;2.43;982;6.4;2.9;-0.5
5.02E+00;PFHxA;1.05E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;1054;7.6;0.6;0.7
5.11E+00;PFHxA;1.30E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;1003;6.7;0.57;-0.2
5.10E+00;PFHxA;1.25E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;993;7.6;1.3;0.7
5.07E+00;PFHxA;1.17E+05;0.18;314.05;0;1;-4.59;0;1.22;2.45;945;6.6;1.5;-0.3
4.68E+00;PFHxA;4.76E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;1047;6.7;1.65;-0.2
4.65E+00;PFHxA;4.48E+04;0.18;314.05;0;1;-4.59;0;1.22;2.45;982;6.4;2.9;-0.5
4.23E+00;PFHpA;1.72E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;1054;7.6;0.6;0.7
4.41E+00;PFHpA;2.56E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;1003;6.7;0.57;-0.2
4.34E+00;PFHpA;2.21E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;993;7.6;1.3;0.7
4.31E+00;PFHpA;2.03E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;945;6.6;1.5;-0.3
4.16E+00;PFHpA;1.44E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;1047;6.7;1.65;-0.2
4.01E+00;PFHpA;1.03E+04;0.88;364.06;0;1;-5.42;0;1.4;3.77;982;6.4;2.9;-0.5
4.92E+00;GenX;8.31E+04;0.47;330.05;0;1;-4.82;0;1.28;2.075;1054;7.6;0.6;0.7
5.11E+00;GenX;1.29E+05;0.47;330.05;0;1;-4.82;0;1.28;2.075;1003;6.7;0.57;-0.2
5.03E+00;GenX;1.07E+05;0.47;330.05;0;1;-4.82;0;1.28;2.075;993;7.6;1.3;0.7
4.99E+00;GenX;9.69E+04;0.47;330.05;0;1;-4.82;0;1.28;2.075;945;6.6;1.5;-0.3
4.60E+00;GenX;3.95E+04;0.47;330.05;0;1;-4.82;0;1.28;2.075;1047;6.7;1.65;-0.2
3.85E+00;GenX;7.00E+03;0.47;330.05;0;1;-4.82;0;1.28;2.075;982;6.4;2.9;-0.5
3.11E+00;TFMS;1.28E+03;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1054;7.6;0.6;0.7
3.16E+00;TFMS;1.44E+03;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1003;6.7;0.57;-0.2
2.90E+00;TFMS;8.00E+02;-3.8;150.08;0;1;-0.61;0;0.642;0.352;993;7.6;1.3;0.7
3.26E+00;TFMS;1.80E+03;-3.8;150.08;0;1;-0.61;0;0.642;0.352;945;6.6;1.5;-0.3
2.51E+00;TFMS;3.20E+02;-3.8;150.08;0;1;-0.61;0;0.642;0.352;1047;6.7;1.65;-0.2
2.68E+00;TFMS;4.80E+02;-3.8;150.08;0;1;-0.61;0;0.642;0.352;982;6.4;2.9;-0.5
4.17E+00;PFBS;1.48E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;1054;7.6;0.6;0.7
4.23E+00;PFBS;1.70E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;1003;6.7;0.57;-0.2
4.22E+00;PFBS;1.68E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;993;7.6;1.3;0.7
4.20E+00;PFBS;1.59E+04;0.251;299.1;0;1;-3.36;0;1.17;2.26;945;6.6;1.5;-0.3
3.88E+00;PFBS;7.65E+03;0.251;299.1;0;1;-3.36;0;1.17;2.26;1047;6.7;1.65;-0.2
3.79E+00;PFBS;6.15E+03;0.251;299.1;0;1;-3.36;0;1.17;2.26;982;6.4;2.9;-0.5
4.69E+00;PFHxS;4.85E+04;1.65;400.11;0;1;-5;0;1.52;3.3;1054;7.6;0.6;0.7
4.70E+00;PFHxS;5.07E+04;1.65;400.11;0;1;-5;0;1.52;3.3;1003;6.7;0.57;-0.2
4.69E+00;PFHxS;4.91E+04;1.65;400.11;0;1;-5;0;1.52;3.3;993;7.6;1.3;0.7
4.68E+00;PFHxS;4.78E+04;1.65;400.11;0;1;-5;0;1.52;3.3;945;6.6;1.5;-0.3
4.64E+00;PFHxS;4.36E+04;1.65;400.11;0;1;-5;0;1.52;3.3;1047;6.7;1.65;-0.2
4.52E+00;PFHxS;3.28E+04;1.65;400.11;0;1;-5;0;1.52;3.3;982;6.4;2.9;-0.5
5.88E+00;Salbutamol;7.60E+05;-1.64;239.2;1;0;1.2;1;2.08;1.52;2142;4.8;9.19;-2.1
5.73E+00;Salbutamol;5.43E+05;-1.64;239.2;1;0;1.2;1;2.08;1.52;1757;6.2;8.42;-0.7
5.30E+00;Sulfamethoxazole;1.98E+05;0.14;253.28;0;1;-1.03;1;1.72;2.41;2142;4.8;9.19;-2.1
4.80E+00;Sulfamethoxazole;6.33E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;1757;6.2;8.42;-0.7
5.98E+00;Trimethoprim;9.50E+05;0.92;290.3;1;0;-2.42;1;2.21;2.86;2142;4.8;9.19;-2.1
5.90E+00;Trimethoprim;7.92E+05;0.92;290.3;1;0;-2.42;1;2.21;2.86;1757;6.2;8.42;-0.7
6.00E+00;Venlafaxine;1.00E+06;0.74;277.4;1;0;-0.57;1;2.62;2.94;2142;4.8;9.19;-2.1
5.92E+00;Venlafaxine;8.26E+05;0.74;277.4;1;0;-0.57;1;2.62;2.94;1757;6.2;8.42;-0.7
6.05E+00;o-desmehtylvenlafaxine;1.12E+06;0.59;263.4;1;0;-0.31;1;2.36;3.24;2142;4.8;9.19;-2.1
5.96E+00;o-desmehtylvenlafaxine;9.05E+05;0.59;263.4;1;0;-0.31;1;2.36;3.24;1757;6.2;8.42;-0.7
6.08E+00;Ofloxacine;1.20E+06;-0.8;361.4;0;0;-2.21;1;2.44;1.09;2142;4.8;9.19;-2.1
5.85E+00;Ofloxacine;7.08E+05;-0.8;361.4;0;0;-2.21;1;2.44;1.09;1757;6.2;8.42;-0.7
6.24E+00;Metoprolol;1.72E+06;-0.47;267.3;1;0;0.3;1;2.59;2.06;2142;4.8;9.19;-2.1
6.15E+00;Metoprolol;1.41E+06;-0.47;267.3;1;0;0.3;1;2.59;2.06;1757;6.2;8.42;-0.7
6.03E+00;Metoprolol Acid;1.06E+06;-1.24;267.3;0;1;-1.47;1;3.3;1.23;2142;4.8;9.19;-2.1
5.86E+00;Metoprolol Acid;7.19E+05;-1.24;267.3;0;1;-1.47;1;3.3;1.23;1757;6.2;8.42;-0.7
5.16E+00;Ketoprofen;1.44E+05;0.72;254.3;0;1;-0.85;2;2.12;2.59;2142;4.8;9.19;-2.1
4.76E+00;Ketoprofen;5.75E+04;0.72;254.3;0;1;-0.85;2;2.12;2.59;1757;6.2;8.42;-0.7
5.09E+00;Iopromide;1.23E+05;-0.44;791.1;0;0;-2.24;1;3.64;1;2142;4.8;9.19;-2.1
4.77E+00;Iopromide;5.91E+04;-0.44;791.1;0;0;-2.24;1;3.64;1;1757;6.2;8.42;-0.7
5.86E+00;Furosemide;7.21E+05;-1.45;330.7;0;1;-3.18;1;2.06;2.04;2142;4.8;9.19;-2.1
5.39E+00;Furosemide;2.46E+05;-1.45;330.7;0;1;-3.18;1;2.06;2.04;1757;6.2;8.42;-0.7
5.77E+00;Gemfibrozil;5.86E+05;1.85;250.3;0;1;-0.73;1;2.4;2.64;2142;4.8;9.19;-2.1
5.42E+00;Gemfibrozil;2.66E+05;1.85;250.3;0;1;-0.73;1;2.4;2.64;1757;6.2;8.42;-0.7
5.93E+00;Erythromycin;8.59E+05;0.6;733.9;1;0;-0.27;0;6.07;2.75;2142;4.8;9.19;-2.1
5.70E+00;Erythromycin;5.00E+05;0.6;733.9;1;0;-0.27;0;6.07;2.75;1757;6.2;8.42;-0.7
5.84E+00;Ciprofloxacin;6.85E+05;-0.86;331.347;1;1;-2.27;1;2.3;1.55;2142;4.8;9.19;-2.1
5.28E+00;Ciprofloxacin;1.89E+05;-0.86;331.347;1;1;-2.27;1;2.3;1.55;1757;6.2;8.42;-0.7
5.78E+00;Diclofenac;6.01E+05;1.38;296.2;0;1;-1.3;2;2.07;2.66;2142;4.8;9.19;-2.1
5.32E+00;Diclofenac;2.07E+05;1.38;296.2;0;1;-1.3;2;2.07;2.66;1757;6.2;8.42;-0.7
5.91E+00;Bezafibrate;8.12E+05;0.97;361.8;0;1;-1.69;2;2.87;2.62;2142;4.8;9.19;-2.1
5.67E+00;Bezafibrate;4.68E+05;0.97;361.8;0;1;-1.69;2;2.87;2.62;1757;6.2;8.42;-0.7
6.22E+00;Carbamazepine;1.67E+06;2.77;236.3;0;0;-3.79;2;1.87;3.12;2142;4.8;9.19;-2.1
5.58E+00;Carbamazepine;3.83E+05;2.77;236.3;0;0;-3.79;2;1.87;3.12;1757;6.2;8.42;-0.7
6.25E+00;Azithromycin;1.80E+06;-3.06;749;1;0;0.38;0;6.33;3.5;2142;4.8;9.19;-2.1
5.91E+00;Azithromycin;8.12E+05;-3.06;749;1;0;0.38;0;6.33;3.5;1757;6.2;8.42;-0.7
5.31E+00;Salbutamol;2.03E+05;-1.64;239.2;1;0;1.2;1;2.08;1.52;1276;8.5;1.7;1.6
4.83E+00;Salbutamol;6.76E+04;-1.64;239.2;1;0;1.2;1;2.08;1.52;850;7.8;5.66;0.9
5.51E+00;Sulfamethoxazole;3.23E+05;0.14;253.28;0;1;-1.03;1;1.72;2.41;1276;8.5;1.7;1.6
5.11E+00;Sulfamethoxazole;1.30E+05;0.14;253.28;0;1;-1.03;1;1.72;2.41;850;7.8;5.66;0.9
5.38E+00;Trimethoprim;2.40E+05;0.92;290.3;1;0;-2.42;1;2.21;2.86;1276;8.5;1.7;1.6
4.98E+00;Trimethoprim;9.50E+04;0.92;290.3;1;0;-2.42;1;2.21;2.86;850;7.8;5.66;0.9
5.51E+00;Venlafaxine;3.24E+05;0.74;277.4;1;0;-0.57;1;2.62;2.94;1276;8.5;1.7;1.6
4.96E+00;Venlafaxine;9.04E+04;0.74;277.4;1;0;-0.57;1;2.62;2.94;850;7.8;5.66;0.9
5.43E+00;o-desmehtylvenlafaxine;2.68E+05;0.59;263.4;1;0;-0.31;1;2.36;3.24;1276;8.5;1.7;1.6
4.81E+00;o-desmehtylvenlafaxine;6.47E+04;0.59;263.4;1;0;-0.31;1;2.36;3.24;850;7.8;5.66;0.9
5.22E+00;Ofloxacine;1.65E+05;-0.8;361.4;0;0;-2.21;1;2.44;1.09;1276;8.5;1.7;1.6
4.28E+00;Ofloxacine;1.89E+04;-0.8;361.4;0;0;-2.21;1;2.44;1.09;850;7.8;5.66;0.9
5.72E+00;Metoprolol;5.21E+05;-0.47;267.3;1;0;0.3;1;2.59;2.06;1276;8.5;1.7;1.6
5.21E+00;Metoprolol;1.62E+05;-0.47;267.3;1;0;0.3;1;2.59;2.06;850;7.8;5.66;0.9
5.56E+00;Metoprolol Acid;3.65E+05;-1.24;267.3;0;1;-1.47;1;3.3;1.23;1276;8.5;1.7;1.6
5.11E+00;Metoprolol Acid;1.30E+05;-1.24;267.3;0;1;-1.47;1;3.3;1.23;850;7.8;5.66;0.9
4.94E+00;Ketoprofen;8.76E+04;0.72;254.3;0;1;-0.85;2;2.12;2.59;1276;8.5;1.7;1.6
4.73E+00;Ketoprofen;5.32E+04;0.72;254.3;0;1;-0.85;2;2.12;2.59;850;7.8;5.66;0.9
4.95E+00;Iopromide;9.00E+04;-0.44;791.1;0;0;-2.24;1;3.64;1;1276;8.5;1.7;1.6
4.28E+00;Iopromide;1.89E+04;-0.44;791.1;0;0;-2.24;1;3.64;1;850;7.8;5.66;0.9
5.25E+00;Furosemide;1.79E+05;-1.45;330.7;0;1;-3.18;1;2.06;2.04;1276;8.5;1.7;1.6
4.99E+00;Furosemide;9.77E+04;-1.45;330.7;0;1;-3.18;1;2.06;2.04;850;7.8;5.66;0.9
5.54E+00;Gemfibrozil;3.43E+05;1.85;250.3;0;1;-0.73;1;2.4;2.64;1276;8.5;1.7;1.6
5.01E+00;Gemfibrozil;1.00E+05;1.85;250.3;0;1;-0.73;1;2.4;2.64;850;7.8;5.66;0.9
5.47E+00;Erythromycin;2.96E+05;0.6;733.9;1;0;-0.27;0;6.07;2.75;1276;8.5;1.7;1.6
5.09E+00;Erythromycin;1.23E+05;0.6;733.9;1;0;-0.27;0;6.07;2.75;850;7.8;5.66;0.9
4.95E+00;Ciprofloxacin;9.00E+04;-0.86;331.347;1;1;-2.27;1;2.3;1.55;1276;8.5;1.7;1.6
4.65E+00;Ciprofloxacin;4.50E+04;-0.86;331.347;1;1;-2.27;1;2.3;1.55;850;7.8;5.66;0.9
5.51E+00;Diclofenac;3.20E+05;1.38;296.2;0;1;-1.3;2;2.07;2.66;1276;8.5;1.7;1.6
4.98E+00;Diclofenac;9.50E+04;1.38;296.2;0;1;-1.3;2;2.07;2.66;850;7.8;5.66;0.9
5.50E+00;Bezafibrate;3.13E+05;0.97;361.8;0;1;-1.69;2;2.87;2.62;1276;8.5;1.7;1.6
4.96E+00;Bezafibrate;9.12E+04;0.97;361.8;0;1;-1.69;2;2.87;2.62;850;7.8;5.66;0.9
5.60E+00;Carbamazepine;3.97E+05;2.77;236.3;0;0;-3.79;2;1.87;3.12;1276;8.5;1.7;1.6
5.14E+00;Carbamazepine;1.38E+05;2.77;236.3;0;0;-3.79;2;1.87;3.12;850;7.8;5.66;0.9
5.46E+00;Azithromycin;2.88E+05;-3.06;749;1;0;0.38;0;6.33;3.5;1276;8.5;1.7;1.6
4.86E+00;Azithromycin;7.19E+04;-3.06;749;1;0;0.38;0;6.33;3.5;850;7.8;5.66;0.9
4.68E+00;Salbutamol;4.80E+04;-1.64;239.2;1;0;1.2;1;2.08;1.52;1183;8.9;4.33;2
4.94E+00;Salbutamol;8.68E+04;-1.64;239.2;1;0;1.2;1;2.08;1.52;933;10.4;3.35;3.5
4.83E+00;Sulfamethoxazole;6.76E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;1183;8.9;4.33;2
4.92E+00;Sulfamethoxazole;8.30E+04;0.14;253.28;0;1;-1.03;1;1.72;2.41;933;10.4;3.35;3.5
5.04E+00;Trimethoprim;1.09E+05;0.92;290.3;1;0;-2.42;1;2.21;2.86;1183;8.9;4.33;2
4.99E+00;Trimethoprim;9.70E+04;0.92;290.3;1;0;-2.42;1;2.21;2.86;933;10.4;3.35;3.5
4.88E+00;Venlafaxine;7.61E+04;0.74;277.4;1;0;-0.57;1;2.62;2.94;1183;8.9;4.33;2
5.06E+00;Venlafaxine;1.15E+05;0.74;277.4;1;0;-0.57;1;2.62;2.94;933;10.4;3.35;3.5
4.67E+00;o-desmehtylvenlafaxine;4.72E+04;0.59;263.4;1;0;-0.31;1;2.36;3.24;1183;8.9;4.33;2
4.95E+00;o-desmehtylvenlafaxine;8.93E+04;0.59;263.4;1;0;-0.31;1;2.36;3.24;933;10.4;3.35;3.5
4.27E+00;Ofloxacine;1.88E+04;-0.8;361.4;0;0;-2.21;1;2.44;1.09;1183;8.9;4.33;2
4.65E+00;Ofloxacine;4.50E+04;-0.8;361.4;0;0;-2.21;1;2.44;1.09;933;10.4;3.35;3.5
5.40E+00;Metoprolol;2.49E+05;-0.47;267.3;1;0;0.3;1;2.59;2.06;1183;8.9;4.33;2
5.27E+00;Metoprolol;1.85E+05;-0.47;267.3;1;0;0.3;1;2.59;2.06;933;10.4;3.35;3.5
5.20E+00;Metoprolol Acid;1.58E+05;-1.24;267.3;0;1;-1.47;1;3.3;1.23;1183;8.9;4.33;2
5.24E+00;Metoprolol Acid;1.74E+05;-1.24;267.3;0;1;-1.47;1;3.3;1.23;933;10.4;3.35;3.5
4.66E+00;Ketoprofen;4.55E+04;0.72;254.3;0;1;-0.85;2;2.12;2.59;1183;8.9;4.33;2
4.77E+00;Ketoprofen;5.83E+04;0.72;254.3;0;1;-0.85;2;2.12;2.59;933;10.4;3.35;3.5
4.21E+00;Iopromide;1.63E+04;-0.44;791.1;0;0;-2.24;1;3.64;1;1183;8.9;4.33;2
4.48E+00;Iopromide;3.00E+04;-0.44;791.1;0;0;-2.24;1;3.64;1;933;10.4;3.35;3.5
5.21E+00;Furosemide;1.62E+05;-1.45;330.7;0;1;-3.18;1;2.06;2.04;1183;8.9;4.33;2
5.05E+00;Furosemide;1.12E+05;-1.45;330.7;0;1;-3.18;1;2.06;2.04;933;10.4;3.35;3.5
5.21E+00;Gemfibrozil;1.63E+05;1.85;250.3;0;1;-0.73;1;2.4;2.64;1183;8.9;4.33;2
5.39E+00;Gemfibrozil;2.45E+05;1.85;250.3;0;1;-0.73;1;2.4;2.64;933;10.4;3.35;3.5
5.01E+00;Erythromycin;1.03E+05;0.6;733.9;1;0;-0.27;0;6.07;2.75;1183;8.9;4.33;2
5.07E+00;Erythromycin;1.17E+05;0.6;733.9;1;0;-0.27;0;6.07;2.75;933;10.4;3.35;3.5
4.31E+00;Ciprofloxacin;2.05E+04;-0.86;331.347;1;1;-2.27;1;2.3;1.55;1183;8.9;4.33;2
4.71E+00;Ciprofloxacin;5.07E+04;-0.86;331.347;1;1;-2.27;1;2.3;1.55;933;10.4;3.35;3.5
4.98E+00;Diclofenac;9.56E+04;1.38;296.2;0;1;-1.3;2;2.07;2.66;1183;8.9;4.33;2
5.41E+00;Diclofenac;2.58E+05;1.38;296.2;0;1;-1.3;2;2.07;2.66;933;10.4;3.35;3.5
5.01E+00;Bezafibrate;1.02E+05;0.97;361.8;0;1;-1.69;2;2.87;2.62;1183;8.9;4.33;2
5.61E+00;Bezafibrate;4.11E+05;0.97;361.8;0;1;-1.69;2;2.87;2.62;933;10.4;3.35;3.5
5.66E+00;Carbamazepine;4.52E+05;2.77;236.3;0;0;-3.79;2;1.87;3.12;1183;8.9;4.33;2
5.66E+00;Carbamazepine;4.60E+05;2.77;236.3;0;0;-3.79;2;1.87;3.12;933;10.4;3.35;3.5
5.53E+00;Azithromycin;3.35E+05;-3.06;749;1;0;0.38;0;6.33;3.5;1183;8.9;4.33;2
5.49E+00;Azithromycin;3.13E+05;-3.06;749;1;0;0.38;0;6.33;3.5;933;10.4;3.35;3.5
