log Kd (L/kg),log D (L/kg),molecular weight (g/mol),positive charges,negative charges,Log S (mol/L) at pH 7,number of aromatic rings,molecular volume  (cm3/mol/100),estimated log KOC  (L/kg),surface area (m2/g),O wt%,delta_PZCpH,PZC
5.120116364998122,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1260.0,3.9,-0.6000000000000005,6.3
4.519302849235428,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1255.0,1.4,2.6,9.5
5.269078432443899,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1255.0,1.4,2.6,9.5
2.98,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1200.0,9.2,-4.2,2.7
3.484157424365381,0.251,299.1,0,1,-3.36,0,1.1711,2.26,1200.0,9.2,-4.2,2.7
2.342422680822206,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1100.0,13.7,-1.0,5.9
2.6127838567197355,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,720.0,7.9,0.3999999999999994,7.3
4.278753600952829,-1.22,214.039,0,1,-2.82,0,0.8705,1.81,1000.0,1.1,2.4000000000000004,9.3
4.1003705451175625,-0.54,264.05,0,1,-3.72,0,1.05,2.43,262.0,,,
5.348304863048161,0.18,314.05,0,1,-4.59,0,1.22,2.45,659.0,,,
5.578639209968072,0.251,299.1,0,1,-3.36,0,1.1711,2.26,,,,
6.553883026643875,1.65,400.11,0,1,-5.0,0,1.52,3.3,,,,
6.366180057989115,1.65,400.11,0,1,-5.0,0,1.52,3.3,,,,
5.415230507781825,0.251,299.1,0,1,-3.36,0,1.1711,2.26,676.0,,1.0999999999999996,8.0
5.6283848425536,0.251,299.1,0,1,-3.36,0,1.1711,2.26,752.0,,1.0499999999999998,7.95
5.325827520938338,-0.54,264.05,0,1,-3.72,0,1.05,2.43,676.0,,1.0999999999999996,8.0
5.6566290014421545,-0.54,264.05,0,1,-3.72,0,1.05,2.43,752.0,,1.0499999999999998,7.95
5.441523897189953,0.18,314.05,0,1,-4.59,0,1.22,2.45,676.0,,1.0999999999999996,8.0
5.451033825139367,0.18,314.05,0,1,-4.59,0,1.22,2.45,752.0,,1.0499999999999998,7.95
5.64511560028946,1.65,400.11,0,1,-5.0,0,1.52,3.3,676.0,,1.0999999999999996,8.0
5.491507368193869,0.88,364.06,0,1,-5.42,0,1.4,3.77,676.0,,1.0999999999999996,8.0
5.687729564278948,0.88,364.06,0,1,-5.42,0,1.4,3.77,752.0,,1.0499999999999998,7.95
