log Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges;negative charges;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100);estimated log KOC  (L/kg);surface area (m2/g);O wt%;delta_PZCpH
4.65E+00;-0.8;361.4;0;0;-2.21;1;2.44;1.09;933;3.35;3.5
5.40E+00;-0.47;267.3;1;0;0.3;1;2.59;2.06;1183;4.33;2
5.27E+00;-0.47;267.3;1;0;0.3;1;2.59;2.06;933;3.35;3.5
5.20E+00;-1.24;267.3;0;1;-1.47;1;3.3;1.23;1183;4.33;2
5.24E+00;-1.24;267.3;0;1;-1.47;1;3.3;1.23;933;3.35;3.5
4.66E+00;0.72;254.3;0;1;-0.85;2;2.12;2.59;1183;4.33;2
4.77E+00;0.72;254.3;0;1;-0.85;2;2.12;2.59;933;3.35;3.5
4.21E+00;-0.44;791.1;0;0;-2.24;1;3.64;1;1183;4.33;2
4.48E+00;-0.44;791.1;0;0;-2.24;1;3.64;1;933;3.35;3.5
5.21E+00;-1.45;330.7;0;1;-3.18;1;2.06;2.04;1183;4.33;2
5.05E+00;-1.45;330.7;0;1;-3.18;1;2.06;2.04;933;3.35;3.5
5.21E+00;1.85;250.3;0;1;-0.73;1;2.4;2.64;1183;4.33;2
5.39E+00;1.85;250.3;0;1;-0.73;1;2.4;2.64;933;3.35;3.5
5.01E+00;0.6;733.9;1;0;-0.27;0;6.07;2.75;1183;4.33;2
5.07E+00;0.6;733.9;1;0;-0.27;0;6.07;2.75;933;3.35;3.5
4.31E+00;-0.86;331.347;1;1;-2.27;1;2.3047;1.55;1183;4.33;2
4.71E+00;-0.86;331.347;1;1;-2.27;1;2.3047;1.55;933;3.35;3.5
4.98E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;1183;4.33;2
5.41E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;933;3.35;3.5
5.01E+00;0.97;361.8;0;1;-1.69;2;2.87;2.62;1183;4.33;2
5.61E+00;0.97;361.8;0;1;-1.69;2;2.87;2.62;933;3.35;3.5
5.66E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;1183;4.33;2
5.66E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;933;3.35;3.5
5.53E+00;-3.06;749;1;0;0.38;0;6.33;3.5;1183;4.33;2
5.49E+00;-3.06;749;1;0;0.38;0;6.33;3.5;933;3.35;3.5
6.82E+00;2.24;239.3;1;0;-3.92;2;2.21;4.17;1140;4.7;2.6
6.36E+00;1.29;119.127;0;0;-1.21;1;0.8642;2.17;1140;4.7;2.6
6.06E+00;-0.64;152.11;0;1;-1.45;0;0.784;1;1140;4.7;2.6
5.95E+00;-1.85;170.25;1;0;1.56;0;1.85;1.61;1140;4.7;2.6
5.88E+00;1.12;218.26;0;0;-1.93;1;1.77;2.14;1140;4.7;2.6
6.00E+00;0.42;362.44;0;1;-2.92;0;2.8;1.93;1140;4.7;2.6
6.02E+00;-2.25;150.24;1;0;0.83;1;1.65;2.4;1140;4.7;2.6
5.88E+00;-0.49;183.18;0;1;0.24;1;1.18;1;1140;4.7;2.6
5.73E+00;-0.2;186.22;0;1;0.08;1;1.45;1.43;1140;4.7;2.6
5.36E+00;-0.59;126.12;0;0;-1.69;0;0.76;1.51;1140;4.7;2.6
5.70E+00;-0.73;266.25;0;1;-0.42;2;2.05;2.86;1140;4.7;2.6
5.49E+00;-0.71;172.2;0;1;0.37;1;1.28;1.21;1140;4.7;2.6
5.12E+00;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1140;4.7;2.6
5.18E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.623;1140;4.7;2.6
4.87E+00;0.06;207.24;0;0;-1.47;0;1.64;1;1140;4.7;2.6
5.42E+00;-0.62;613.91;0;1;-3.82;1;2.34;1;1140;4.7;2.6
4.24E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.623;1030;1.8;1.2
4.93E+00;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1030;1.8;1.2
5.42E+00;1.29;119.127;0;0;-1.21;1;0.8642;2.17;1030;1.8;1.2
5.39E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;1030;1.8;1.2
5.39E+00;-0.2;186.22;0;1;0.08;1;1.45;1.43;1030;1.8;1.2
4.64E+00;0.1;231.26;0;0;-1.37;1;1.78;1.06;1030;1.8;1.2
4.11E+00;-1.27;171.24;1;1;-1.12;0;1.4423;1.77;1030;1.8;1.2
4.05E+00;-2.32;201.31;1;0;1.64;0;2.06;1;1030;1.8;1.2
5.53E+00;-0.59;126.12;0;0;-1.69;0;0.76;1.51;1030;1.8;1.2
5.35E+00;1.12;218.26;0;0;-1.93;1;1.77;2.14;1030;1.8;1.2
4.89E+00;0.14;253.28;0;1;-1.03;1;1.72;2.41;1030;1.8;1.2
6.21E+00;1.03;211.268;1;0;-3.6;2;1.7215;3.220108088;1260;3.9;-0.6
5.52E+00;1.29;119.127;0;0;-1.21;1;0.8642;2.173186268;1260;3.9;-0.6
4.75E+00;-0.4;215.24;0;1;-2.37;1;1.3086;1.77815125;1260;3.9;-0.6
5.90E+00;-0.23;208.23;0;1;-3.01;2;1.425;2.041392685;1260;3.9;-0.6
5.95E+00;1.83;145.161;0;0;-1.55;2;1.103;3.305351369;1260;3.9;-0.6
5.13E+00;1.35;139.11;0;1;-1.43;1;0.9493;2.462397998;1260;3.9;-0.6
7.33E+00;1.91;203.24;1;0;-3.27;2;1.5844;2.322219295;1260;3.9;-0.6
5.16E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.62324929;1260;3.9;-0.6
7.41E+00;1.8;191.19;1;0;-2.65;1;1.3613;2.602059991;1260;3.9;-0.6
5.31E+00;-0.86;331.347;1;1;-2.27;1;2.3047;1.550228353;1260;3.9;-0.6
3.37E+00;-1.72;99.177;1;0;1.03;0;0.9452;2.158362492;1260;3.9;-0.6
5.67E+00;2.69;222.24;0;0;-2.72;1;1.7106;2.021189299;1260;3.9;-0.6
4.76E+00;-1.27;171.24;1;1;-1.12;0;1.4423;1.770852012;1260;3.9;-0.6
4.92E+00;-3.93;102.097;1;0;2.28;0;0.7623;1.800029359;1260;3.9;-0.6
5.84E+00;-0.25;214.65;0;1;-2.95;1;1.5355;1.683947131;1260;3.9;-0.6
5.67E+00;0.17;375.48;1;0;-1.45;1;2.9612;3.950023907;1260;3.9;-0.6
5.77E+00;0.14;253.28;0;1;-1.03;1;1.72;2.414973348;1260;3.9;-0.6
4.13E+00;-2.54;130.25;1;0;0.450249108;0;1.36;1.959041392;1260;3.9;-0.6
5.41E+00;0.24;263.38;1;0;-0.16;1;2.23;2.69019608;1260;3.9;-0.6
4.33E+00;1.18;182.156;0;0;-1.21;0;1.3934;1.812913357;1260;3.9;-0.6
6.19E+00;1.03;211.268;1;0;-3.6;2;1.7215;3.220108088;1255;1.4;2.6
5.21E+00;1.29;119.127;0;0;-1.21;1;0.8642;2.173186268;1255;1.4;2.6
5.20E+00;-0.4;215.24;0;1;-2.37;1;1.3086;1.77815125;1255;1.4;2.6
6.15E+00;-0.23;208.23;0;1;-3.01;2;1.425;2.041392685;1255;1.4;2.6
5.78E+00;1.83;145.161;0;0;-1.55;2;1.103;3.305351369;1255;1.4;2.6
5.31E+00;1.35;139.11;0;1;-1.43;1;0.9493;2.462397998;1255;1.4;2.6
5.40E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.62324929;1255;1.4;2.6
6.49E+00;1.8;191.19;1;0;-2.65;1;1.3613;2.602059991;1255;1.4;2.6
5.74E+00;-0.86;331.347;1;1;-2.27;1;2.3047;1.550228353;1255;1.4;2.6
3.56E+00;-1.72;99.177;1;0;1.03;0;0.9452;2.158362492;1255;1.4;2.6
5.81E+00;2.69;222.24;0;0;-2.72;1;1.7106;2.021189299;1255;1.4;2.6
4.68E+00;-1.27;171.24;1;1;-1.12;0;1.4423;1.770852012;1255;1.4;2.6
5.18E+00;-3.93;102.097;1;0;2.28;0;0.7623;1.800029359;1255;1.4;2.6
6.16E+00;-0.25;214.65;0;1;-2.95;1;1.5355;1.683947131;1255;1.4;2.6
7.21E+00;0.17;375.48;1;0;-1.45;1;2.9612;3.950023907;1255;1.4;2.6
6.20E+00;0.14;253.28;0;1;-1.03;1;1.72;2.414973348;1255;1.4;2.6
3.61E+00;-2.54;130.25;1;0;0.450249108;0;1.36;1.959041392;1255;1.4;2.6
6.53E+00;0.24;263.38;1;0;-0.16;1;2.23;2.69019608;1255;1.4;2.6
5.36E+00;1.18;182.156;0;0;-1.21;0;1.3934;1.812913357;1255;1.4;2.6
5.73E+00;1.03;211.268;1;0;-3.6;2;1.7215;3.220108088;1200;9.2;-4.2
4.64E+00;1.29;119.127;0;0;-1.21;1;0.8642;2.173186268;1200;9.2;-4.2
3.82E+00;-0.4;215.24;0;1;-2.37;1;1.3086;1.77815125;1200;9.2;-4.2
5.09E+00;-0.23;208.23;0;1;-3.01;2;1.425;2.041392685;1200;9.2;-4.2
5.58E+00;1.83;145.161;0;0;-1.55;2;1.103;3.305351369;1200;9.2;-4.2
5.45E+00;1.35;139.11;0;1;-1.43;1;0.9493;2.462397998;1200;9.2;-4.2
3.12E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.62324929;1200;9.2;-4.2
6.50E+00;1.8;191.19;1;0;-2.65;1;1.3613;2.602059991;1200;9.2;-4.2
5.27E+00;-0.86;331.347;1;1;-2.27;1;2.3047;1.550228353;1200;9.2;-4.2
3.00E+00;-1.72;99.177;1;0;1.03;0;0.9452;2.158362492;1200;9.2;-4.2
5.50E+00;2.69;222.24;0;0;-2.72;1;1.7106;2.021189299;1200;9.2;-4.2
3.91E+00;-1.27;171.24;1;1;-1.12;0;1.4423;1.73;1200;9.2;-4.2
5.41E+00;-3.93;102.097;1;0;2.28;0;0.7623;1.800029359;1200;9.2;-4.2
4.42E+00;-0.25;214.65;0;1;-2.95;1;1.5355;1.683947131;1200;9.2;-4.2
6.41E+00;0.17;375.48;1;0;-1.45;1;2.9612;3.950023907;1200;9.2;-4.2
5.34E+00;0.14;253.28;0;1;-1.03;1;1.72;2.414973348;1200;9.2;-4.2
3.08E+00;-2.54;130.25;1;0;0.450249108;0;1.36;1.959041392;1200;9.2;-4.2
5.29E+00;0.24;263.38;1;0;-0.16;1;2.23;2.69019608;1200;9.2;-4.2
3.99E+00;1.18;182.156;0;0;-1.21;0;1.3934;1.812913357;1200;9.2;-4.2
5.97E+00;0.29;230.26;0;1;-0.69;2;1.92;2.53;1030;;
5.75E+00;0.29;230.26;0;1;-0.69;2;1.92;2.53;1030;;
6.13E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;1156;;
6.05E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;1156;;
6.22E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;1615;;-0.76
5.22E+00;0.91;151.16;0;0;-1.13;1;1.21;1.65;1615;;-0.76
6.29E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;1615;;-0.76
6.78E+00;-0.68;336.42;1;0;-0.87;1;3.01;1.4;771.5;;4.6
6.72E+00;-1.78;266.34;1;0;0.43;1;2.37;1.83;771.5;;4.6
6.97E+00;2.77;236.3;0;0;-3.79;2;1.87;3.12;771.5;;4.6
4.03E+00;0.06;207.24;0;0;-1.47;0;1.64;1;1054;0.6;0.4
4.24E+00;0.06;207.24;0;0;-1.47;0;1.64;1;1003;0.57;-0.5
4.19E+00;0.06;207.24;0;0;-1.47;0;1.64;1;993;1.3;0.4
4.14E+00;0.06;207.24;0;0;-1.47;0;1.64;1;945;1.5;-0.6
4.16E+00;0.06;207.24;0;0;-1.47;0;1.64;1;1047;1.65;-0.5
3.74E+00;0.06;207.24;0;0;-1.47;0;1.64;1;982;2.9;-0.8
4.84E+00;0.21;135.21;0;1;0.63;1;1.46;2.46;1054;0.6;0.4
4.87E+00;0.21;135.21;0;1;0.63;1;1.46;2.46;1003;0.57;-0.5
4.85E+00;0.21;135.21;0;1;0.63;1;1.46;2.46;993;1.3;0.4
4.85E+00;0.21;135.21;0;1;0.63;1;1.46;2.46;945;1.5;-0.6
4.87E+00;0.21;135.21;0;1;0.63;1;1.46;2.46;1047;1.65;-0.5
4.85E+00;0.21;135.21;0;1;0.63;1;1.46;2.46;982;2.9;-0.8
4.85E+00;-2.25;150.24;1;0;0.83;1;1.65;2.4;1054;0.6;0.4
4.92E+00;-2.25;150.24;1;0;0.83;1;1.65;2.4;1003;0.57;-0.5
4.88E+00;-2.25;150.24;1;0;0.83;1;1.65;2.4;993;1.3;0.4
4.91E+00;-2.25;150.24;1;0;0.83;1;1.65;2.4;945;1.5;-0.6
4.92E+00;-2.25;150.24;1;0;0.83;1;1.65;2.4;1047;1.65;-0.5
4.91E+00;-2.25;150.24;1;0;0.83;1;1.65;2.4;982;2.9;-0.8
2.60E+00;-1.03;84.08;0;0;0.23;0;0.666;0.95;1054;0.6;0.4
3.33E+00;-1.03;84.08;0;0;0.23;0;0.666;0.95;1003;0.57;-0.5
3.18E+00;-1.03;84.08;0;0;0.23;0;0.666;0.95;993;1.3;0.4
3.51E+00;-1.03;84.08;0;0;0.23;0;0.666;0.95;945;1.5;-0.6
3.16E+00;-1.03;84.08;0;0;0.23;0;0.666;0.95;1047;1.65;-0.5
2.93E+00;-1.03;84.08;0;0;0.23;0;0.666;0.95;982;2.9;-0.8
3.29E+00;-2.21;158.15;0;1;2.15;0;0.947;0.38;1054;0.6;0.4
3.65E+00;-2.21;158.15;0;1;2.15;0;0.947;0.38;1003;0.57;-0.5
3.62E+00;-2.21;158.15;0;1;2.15;0;0.947;0.38;993;1.3;0.4
3.58E+00;-2.21;158.15;0;1;2.15;0;0.947;0.38;945;1.5;-0.6
3.16E+00;-2.21;158.15;0;1;2.15;0;0.947;0.38;1047;1.65;-0.5
3.01E+00;-2.21;158.15;0;1;2.15;0;0.947;0.38;982;2.9;-0.8
4.43E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.62324929;1054;0.6;0.4
4.47E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.62324929;1003;0.57;-0.5
4.48E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.62324929;993;1.3;0.4
4.46E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.62324929;945;1.5;-0.6
4.43E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.62324929;1047;1.65;-0.5
4.09E+00;-1.49;163.15;0;1;1.22;0;0.9757;0.62324929;982;2.9;-0.8
4.10E+00;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1054;0.6;0.4
4.33E+00;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1003;0.57;-0.5
4.22E+00;-1.43;151.25;1;0;-2.17;0;1.42;3.12;993;1.3;0.4
4.26E+00;-1.43;151.25;1;0;-2.17;0;1.42;3.12;945;1.5;-0.6
4.34E+00;-1.43;151.25;1;0;-2.17;0;1.42;3.12;1047;1.65;-0.5
4.33E+00;-1.43;151.25;1;0;-2.17;0;1.42;3.12;982;2.9;-0.8
4.84E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;993;1.3;0.4
4.84E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;945;1.5;-0.6
4.84E+00;1.38;296.2;0;1;-1.3;2;2.07;2.66;982;2.9;-0.8
4.28E+00;-0.62;613.91;0;1;-3.82;1;2.34;1;1054;0.6;0.4
4.32E+00;-0.62;613.91;0;1;-3.82;1;2.34;1;1003;0.57;-0.5
4.26E+00;-0.62;613.91;0;1;-3.82;1;2.34;1;993;1.3;0.4
4.24E+00;-0.62;613.91;0;1;-3.82;1;2.34;1;945;1.5;-0.6
4.33E+00;-0.62;613.91;0;1;-3.82;1;2.34;1;1047;1.65;-0.5
4.29E+00;-0.62;613.91;0;1;-3.82;1;2.34;1;982;2.9;-0.8
4.81E+00;1.12;218.26;0;0;-1.93;1;1.77;2.14;1054;0.6;0.4
4.82E+00;1.12;218.26;0;0;-1.93;1;1.77;2.14;1003;0.57;-0.5
4.80E+00;1.12;218.26;0;0;-1.93;1;1.77;2.14;993;1.3;0.4
4.82E+00;1.12;218.26;0;0;-1.93;1;1.77;2.14;945;1.5;-0.6
4.83E+00;1.12;218.26;0;0;-1.93;1;1.77;2.14;1047;1.65;-0.5
4.78E+00;1.12;218.26;0;0;-1.93;1;1.77;2.14;982;2.9;-0.8
4.66E+00;-0.49;183.18;0;1;0.24;1;1.18;1;1054;0.6;0.4
4.68E+00;-0.49;183.18;0;1;0.24;1;1.18;1;1003;0.57;-0.5
4.67E+00;-0.49;183.18;0;1;0.24;1;1.18;1;993;1.3;0.4
4.68E+00;-0.49;183.18;0;1;0.24;1;1.18;1;945;1.5;-0.6
4.68E+00;-0.49;183.18;0;1;0.24;1;1.18;1;1047;1.65;-0.5
4.63E+00;-0.49;183.18;0;1;0.24;1;1.18;1;982;2.9;-0.8
4.73E+00;0.14;253.28;0;1;-1.03;1;1.72;2.414973348;1054;0.6;0.4
4.72E+00;0.14;253.28;0;1;-1.03;1;1.72;2.414973348;1003;0.57;-0.5
4.72E+00;0.14;253.28;0;1;-1.03;1;1.72;2.414973348;993;1.3;0.4
4.73E+00;0.14;253.28;0;1;-1.03;1;1.72;2.414973348;945;1.5;-0.6
4.74E+00;0.14;253.28;0;1;-1.03;1;1.72;2.414973348;1047;1.65;-0.5
4.68E+00;0.14;253.28;0;1;-1.03;1;1.72;2.414973348;982;2.9;-0.8
4.79E+00;-0.93;266.25;0;1;-0.42;2;1.88;2.86;1054;0.6;0.4
4.80E+00;-0.93;266.25;0;1;-0.42;2;1.88;2.86;1003;0.57;-0.5
4.78E+00;-0.93;266.25;0;1;-0.42;2;1.88;2.86;993;1.3;0.4
4.77E+00;-0.93;266.25;0;1;-0.42;2;1.88;2.86;945;1.5;-0.6
4.81E+00;-0.93;266.25;0;1;-0.42;2;1.88;2.86;1047;1.65;-0.5
4.78E+00;-0.93;266.25;0;1;-0.42;2;1.88;2.86;982;2.9;-0.8
