log Kd (L/kg);log D (L/kg);molecular weight (g/mol);positive charges;negative charges;Log S (mol/L) at pH 7;number of aromatic rings;molecular volume  (cm3/mol/100);estimated log KOC  (L/kg);surface area (m2/g);O wt%;delta_PZCpH
5.44E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;676;;1.1
5.45E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;752;;1.05
5.65E+00;1.65;400.11;0;1;-5;0;1.52;3.3;676;;1.1
5.49E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;676;;1.1
5.69E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;752;;1.05
4.34E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;810;;-0.9
4.90E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;810;;-0.9
5.52E+00;1.65;400.11;0;1;-5;0;1.52;3.3;810;;-0.9
3.82E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1002;;0.9
4.40E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1002;;0.9
4.23E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1002;;0.9
4.22E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;1002;;0.9
4.59E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1002;;0.9
4.23E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;992;;2.8
4.57E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;992;;2.8
4.59E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;992;;2.8
4.61E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;992;;2.8
4.89E+00;1.65;400.11;0;1;-5;0;1.52;3.3;992;;2.8
4.01E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;840;;2.8
4.50E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;840;;2.8
4.31E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;840;;2.8
4.39E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;840;;2.8
4.77E+00;1.65;400.11;0;1;-5;0;1.52;3.3;840;;2.8
4.14E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;897;;2.9
4.51E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;897;;2.9
4.36E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;897;;2.9
4.50E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;897;;2.9
4.82E+00;1.65;400.11;0;1;-5;0;1.52;3.3;897;;2.9
5.36E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;958;1.44;2.91
6.16E+00;1.65;400.11;0;1;-5;0;1.52;3.3;958;1.44;2.91
5.84E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;958;1.44;2.91
5.63E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;958;1.44;2.91
5.47E+00;-4.5;290.06;0;1;-3.39;0;1.6;2.96;958;1.44;2.91
5.85E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;958;1.44;2.91
4.95E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1004;3.5;-0.95
5.09E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1004;3.5;-0.95
5.15E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1004;3.5;-0.95
5.24E+00;-4.5;290.06;0;1;-3.39;0;1.6;2.96;1004;3.5;-0.95
5.31E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;1004;3.5;-0.95
5.62E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1004;3.5;-0.95
5.43E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1099;0.53;3
5.55E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1099;0.53;3
6.06E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1099;0.53;3
6.09E+00;-4.5;290.06;0;1;-3.39;0;1.6;2.96;1099;0.53;3
6.11E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;1099;0.53;3
6.28E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1099;0.53;3
6.22E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1079;0.61;2.84
6.53E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1079;0.61;2.84
6.66E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1079;0.61;2.84
6.12E+00;-4.5;290.06;0;1;-3.39;0;1.6;2.96;1079;0.61;2.84
6.73E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;1079;0.61;2.84
6.82E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1079;0.61;2.84
6.27E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1067;7.8;1.9
6.13E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1067;7.8;1.9
5.73E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1067;7.8;1.9
4.68E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;1067;7.8;1.9
5.54E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1064;8.8;1.8
5.29E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1064;8.8;1.8
4.45E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1064;8.8;1.8
4.02E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;1064;8.8;1.8
5.62E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;1086;9.3;1
5.23E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1086;9.3;1
4.28E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1086;9.3;1
3.79E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;1086;9.3;1
5.34E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;955;16.3;-3
4.38E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;955;16.3;-3
4.61E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;955;16.3;-3
3.79E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;955;16.3;-3
4.98E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;900;;0.1
4.56E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;900;;0.1
5.20E+00;1.65;400.11;0;1;-5;0;1.52;3.3;900;;0.1
3.22E+00;-1.22;214.039;0;1;-2.82;0;0.8705;1.81;950;;0.1
3.35E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;950;;0.1
3.36E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;950;;0.1
3.45E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;950;;0.1
3.31E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;950;;0.1
3.50E+00;0.95;350.11;0;1;-4.2;0;1.35;3.01;950;;0.1
3.58E+00;1.65;400.11;0;1;-5;0;1.52;3.3;950;;0.1
3.43E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;950;;0.1
3.39E+00;1.11;299.11;0;1;-0.08;0;1.68;2.95;950;;0.1
5.04E+00;1.65;400.11;0;1;-5;0;1.52;3.3;759;;
6.01E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;262;;
4.67E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;171;;
4.44E+00;0.88;364.06;0;1;-5.42;0;1.4;3.77;944;;
4.80E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;262;;
3.35E+00;0.18;314.05;0;1;-4.59;0;1.22;2.45;171;;
5.16E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;964;;1.1
6.59E+00;1.65;400.11;0;1;-5;0;1.52;3.3;964;;1.1
5.72E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;964;;1.1
5.89E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;964;;1.1
5.34E+00;0.251;299.1;0;1;-3.36;0;1.1711;2.26;1296;;1.9
5.34E+00;1.65;400.11;0;1;-5;0;1.52;3.3;1296;;1.9
4.01E+00;-0.54;264.05;0;1;-3.72;0;1.05;2.43;1296;;1.9
4.41E+00;0.47;330.05;0;1;-4.82;0;1.28;2.075;1296;;1.9
